date,price,lag_1,lag_2,lag_3,lag_5,lag_10,lag_22
2022-02-18,246.85,251.5,252.25,251.85,251.65,241.85,244.45
2022-02-22,248.45,246.85,251.5,252.25,247.55,241.65,243.65
2022-02-23,248.6,248.45,246.85,251.5,251.85,248.95,237.9
2022-02-24,239.35,248.6,248.45,246.85,252.25,258.35,232.95
2022-02-25,240.05,239.35,248.6,248.45,251.5,255.2,237.9
2022-02-28,234.25,240.05,239.35,248.6,246.85,251.65,238.9
2022-03-01,237.25,234.25,240.05,239.35,248.45,247.55,232.05
2022-03-02,230.45,237.25,234.25,240.05,248.6,251.85,235.9
2022-03-03,224.15,230.45,237.25,234.25,239.35,252.25,235.1
2022-03-04,224.15,224.15,230.45,237.25,240.05,251.5,236.7
2022-03-07,225.5,224.15,224.15,230.45,234.25,246.85,238.8
2022-03-08,234.05,225.5,224.15,224.15,237.25,248.45,243.9
2022-03-09,230.45,234.05,225.5,224.15,230.45,248.6,241.85
2022-03-10,225.2,230.45,234.05,225.5,224.15,239.35,241.65
2022-03-11,222.95,225.2,230.45,234.05,224.15,240.05,248.95
2022-03-14,219.65,222.95,225.2,230.45,225.5,234.25,258.35
2022-03-15,212.3,219.65,222.95,225.2,234.05,237.25,255.2
2022-03-16,218.6,212.3,219.65,222.95,230.45,230.45,251.65
2022-03-17,217.3,218.6,212.3,219.65,225.2,224.15,247.55
2022-03-18,220.3,217.3,218.6,212.3,222.95,224.15,251.85
2022-03-21,225.85,220.3,217.3,218.6,219.65,225.5,252.25
2022-03-22,225.05,225.85,220.3,217.3,212.3,234.05,251.5
2022-03-23,225.3,225.05,225.85,220.3,218.6,230.45,246.85
2022-03-24,221.85,225.3,225.05,225.85,217.3,225.2,248.45
2022-03-25,221.85,221.85,225.3,225.05,220.3,222.95,248.6
2022-03-28,214.55,221.85,221.85,225.3,225.85,219.65,239.35
2022-03-29,215.7,214.55,221.85,221.85,225.05,212.3,240.05
2022-03-30,221.85,215.7,214.55,221.85,225.3,218.6,234.25
2022-03-31,226.4,221.85,215.7,214.55,221.85,217.3,237.25
2022-04-01,228.4,226.4,221.85,215.7,221.85,220.3,230.45
2022-04-04,230.6,228.4,226.4,221.85,214.55,225.85,224.15
2022-04-05,231.3,230.6,228.4,226.4,215.7,225.05,224.15
2022-04-06,227.6,231.3,230.6,228.4,221.85,225.3,225.5
2022-04-07,226.15,227.6,231.3,230.6,226.4,221.85,234.05
2022-04-08,231.65,226.15,227.6,231.3,228.4,221.85,230.45
2022-04-11,236.6,231.65,226.15,227.6,230.6,214.55,225.2
2022-04-12,233.6,236.6,231.65,226.15,231.3,215.7,222.95
2022-04-13,225.05,233.6,236.6,231.65,227.6,221.85,219.65
2022-04-14,223.6,225.05,233.6,236.6,226.15,226.4,212.3
2022-04-18,223.5,223.6,225.05,233.6,231.65,228.4,218.6
2022-04-19,221.3,223.5,223.6,225.05,236.6,230.6,217.3
2022-04-20,218.8,221.3,223.5,223.6,233.6,231.3,220.3
2022-04-21,228.15,218.8,221.3,223.5,225.05,227.6,225.85
2022-04-22,227.3,228.15,218.8,221.3,223.6,226.15,225.05
2022-04-25,220.8,227.3,228.15,218.8,223.5,231.65,225.3
2022-04-26,221.4,220.8,227.3,228.15,221.3,236.6,221.85
2022-04-27,215.95,221.4,220.8,227.3,218.8,233.6,221.85
2022-04-28,217.9,215.95,221.4,220.8,228.15,225.05,214.55
2022-04-29,222.55,217.9,215.95,221.4,227.3,223.6,215.7
2022-05-02,216.4,222.55,217.9,215.95,220.8,223.5,221.85
2022-05-03,218.2,216.4,222.55,217.9,221.4,221.3,226.4
2022-05-04,221.2,218.2,216.4,222.55,215.95,218.8,228.4
2022-05-05,218.4,221.2,218.2,216.4,217.9,228.15,230.6
2022-05-06,211.6,218.4,221.2,218.2,222.55,227.3,231.3
2022-05-09,206.3,211.6,218.4,221.2,216.4,220.8,227.6
2022-05-10,204.0,206.3,211.6,218.4,218.2,221.4,226.15
2022-05-11,220.1,204.0,206.3,211.6,221.2,215.95,231.65
2022-05-12,215.0,220.1,204.0,206.3,218.4,217.9,236.6
2022-05-13,212.9,215.0,220.1,204.0,211.6,222.55,233.6
2022-05-16,225.8,212.9,215.0,220.1,206.3,216.4,225.05
2022-05-17,228.2,225.8,212.9,215.0,204.0,218.2,223.6
2022-05-18,218.6,228.2,225.8,212.9,220.1,221.2,223.5
2022-05-19,218.7,218.6,228.2,225.8,215.0,218.4,221.3
2022-05-20,215.85,218.7,218.6,228.2,212.9,211.6,218.8
2022-05-23,215.75,215.85,218.7,218.6,225.8,206.3,228.15
2022-05-24,213.65,215.75,215.85,218.7,228.2,204.0,227.3
2022-05-25,217.05,213.65,215.75,215.85,218.6,220.1,220.8
2022-05-26,226.6,217.05,213.65,215.75,218.7,215.0,221.4
2022-05-27,229.45,226.6,217.05,213.65,215.85,212.9,215.95
2022-05-31,231.25,229.45,226.6,217.05,215.75,225.8,217.9
2022-06-01,239.45,231.25,229.45,226.6,213.65,228.2,222.55
2022-06-02,238.25,239.45,231.25,229.45,217.05,218.6,216.4
2022-06-03,232.4,238.25,239.45,231.25,226.6,218.7,218.2
2022-06-06,237.55,232.4,238.25,239.45,229.45,215.85,221.2
2022-06-07,232.15,237.55,232.4,238.25,231.25,215.75,218.4
2022-06-08,231.85,232.15,237.55,232.4,239.45,213.65,211.6
2022-06-09,234.65,231.85,232.15,237.55,238.25,217.05,206.3
2022-06-10,228.9,234.65,231.85,232.15,232.4,226.6,204.0
2022-06-13,223.35,228.9,234.65,231.85,237.55,229.45,220.1
2022-06-14,226.95,223.35,228.9,234.65,232.15,231.25,215.0
2022-06-15,228.5,226.95,223.35,228.9,231.85,239.45,212.9
2022-06-16,231.95,228.5,226.95,223.35,234.65,238.25,225.8
2022-06-17,227.65,231.95,228.5,226.95,228.9,232.4,228.2
2022-06-21,233.1,227.65,231.95,228.5,223.35,237.55,218.6
2022-06-22,238.6,233.1,227.65,231.95,226.95,232.15,218.7
2022-06-23,232.45,238.6,233.1,227.65,228.5,231.85,215.85
2022-06-24,226.6,232.45,238.6,233.1,231.95,234.65,215.75
2022-06-27,226.0,226.6,232.45,238.6,227.65,228.9,213.65
2022-06-28,221.9,226.0,226.6,232.45,233.1,223.35,217.05
2022-06-29,232.65,221.9,226.0,226.6,238.6,226.95,226.6
2022-06-30,233.6,232.65,221.9,226.0,232.45,228.5,229.45
2022-07-01,228.45,233.6,232.65,221.9,226.6,231.95,231.25
2022-07-05,224.65,228.45,233.6,232.65,226.0,227.65,239.45
2022-07-06,222.5,224.65,228.45,233.6,221.9,233.1,238.25
2022-07-07,222.2,222.5,224.65,228.45,232.65,238.6,232.4
2022-07-08,222.9,222.2,222.5,224.65,233.6,232.45,237.55
2022-07-11,216.9,222.9,222.2,222.5,228.45,226.6,232.15
2022-07-12,209.25,216.9,222.9,222.2,224.65,226.0,231.85
2022-07-13,211.25,209.25,216.9,222.9,222.5,221.9,234.65
2022-07-14,199.2,211.25,209.25,216.9,222.2,232.65,228.9
2022-07-15,203.7,199.2,211.25,209.25,222.9,233.6,223.35
2022-07-18,219.1,203.7,199.2,211.25,216.9,228.45,226.95
2022-07-19,220.4,219.1,203.7,199.2,209.25,224.65,228.5
2022-07-20,218.15,220.4,219.1,203.7,211.25,222.5,231.95
2022-07-21,215.85,218.15,220.4,219.1,199.2,222.2,227.65
2022-07-22,206.7,215.85,218.15,220.4,203.7,222.9,233.1
2022-07-25,210.05,206.7,215.85,218.15,219.1,216.9,238.6
2022-07-26,213.2,210.05,206.7,215.85,220.4,209.25,232.45
2022-07-27,219.1,213.2,210.05,206.7,218.15,211.25,226.6
2022-07-28,218.4,219.1,213.2,210.05,215.85,199.2,226.0
2022-07-29,217.2,218.4,219.1,213.2,206.7,203.7,221.9
2022-08-01,213.2,217.2,218.4,219.1,210.05,219.1,232.65
2022-08-02,209.9,213.2,217.2,218.4,213.2,220.4,233.6
2022-08-03,214.65,209.9,213.2,217.2,219.1,218.15,228.45
2022-08-04,219.3,214.65,209.9,213.2,218.4,215.85,224.65
2022-08-05,209.45,219.3,214.65,209.9,217.2,206.7,222.5
2022-08-08,211.85,209.45,219.3,214.65,213.2,210.05,222.2
2022-08-09,212.75,211.85,209.45,219.3,209.9,213.2,222.9
2022-08-10,220.45,212.75,211.85,209.45,214.65,219.1,216.9
2022-08-11,223.95,220.45,212.75,211.85,219.3,218.4,209.25
2022-08-12,226.6,223.95,220.45,212.75,209.45,217.2,211.25
2022-08-15,225.5,226.6,223.95,220.45,211.85,213.2,199.2
