"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.09.2026","280,50","279,00","281,00","275,05","11,21K","1,45%"
"17.09.2026","276,50","280,00","280,70","274,60","13,39K","-1,79%"
"16.09.2026","281,55","283,85","285,45","277,05","13,69K","-0,74%"
"15.09.2026","283,65","287,50","290,80","282,35","13,91K","-2,36%"
"14.09.2026","290,50","283,55","292,75","281,50","14,36K","1,68%"
"11.09.2026","285,70","289,00","291,50","283,85","14,45K","-0,85%"
"10.09.2026","288,15","290,00","291,95","282,10","23,50K","-1,34%"
"09.09.2026","292,05","288,05","300,25","287,40","20,05K","0,26%"
"08.09.2026","291,30","295,80","296,30","286,60","24,20K","-1,45%"
"04.09.2026","295,60","296,10","300,85","292,75","15,19K","0,08%"
"03.09.2026","295,35","297,95","300,00","289,75","17,72K","-0,92%"
"02.09.2026","298,10","307,05","308,35","295,35","19,40K","-3,67%"
"01.09.2026","309,45","313,45","315,55","299,20","22,29K","-0,66%"
"31.08.2026","311,50","311,05","317,15","309,05","9,64K","-0,43%"
"28.08.2026","312,85","311,50","317,00","308,70","11,54K","1,03%"
"27.08.2026","309,65","316,90","317,00","306,45","23,39K","-3,88%"
"26.08.2026","322,15","332,05","333,05","319,80","16,61K","-3,98%"
"25.08.2026","335,50","342,80","345,65","329,00","17,57K","-1,80%"
"24.08.2026","341,65","324,90","342,55","321,50","22,62K","5,89%"
"21.08.2026","322,65","329,00","335,50","321,70","14,39K","-2,02%"
"20.08.2026","329,30","328,15","332,70","320,50","19,18K","0,34%"
"19.08.2026","328,20","330,65","337,15","323,20","22,26K","-1,28%"
"18.08.2026","332,45","317,50","333,25","315,05","24,61K","4,58%"
"17.08.2026","317,90","314,10","324,90","313,70","20,08K","1,15%"
"14.08.2026","314,30","312,00","319,00","308,95","21,47K","0,48%"
"13.08.2026","312,80","317,45","320,80","310,40","19,05K","-2,23%"
"12.08.2026","319,95","315,50","321,20","313,55","21,75K","1,35%"
"11.08.2026","315,70","314,55","327,55","312,50","22,19K","0,57%"
"10.08.2026","313,90","314,20","318,90","309,10","18,86K","-0,63%"
"07.08.2026","315,90","305,85","319,80","305,85","21,75K","3,20%"
"06.08.2026","306,10","310,70","314,10","303,50","12,73K","-1,72%"
"05.08.2026","311,45","309,60","316,25","307,05","16,59K","0,86%"
"04.08.2026","308,80","307,50","311,00","304,00","13,88K","1,35%"
"03.08.2026","304,70","313,75","314,80","302,60","16,61K","-3,16%"
